Symbol	Name	Activities	Industry	Summary
0030.HK	Ban Loong Holdings Ltd.	Providing financial quotation services, wireless applications development, securities trading system licensing and mining operations.	Information Technology - Software \& Services - Software (HSIC*)	Ban Loong Holdings Limited, an investment holding company, provides financial quotation, wireless applications development, securities trading system licensing, mining, and encryption technology and products development services in Hong Kong.
0031.HK	China Aerospace International Holdings Ltd.	Manufacturing and distribution of plastic products, liquid crystal display, printed circuit boards, intelligent chargers, polyimide films and other products; property investment and trading of electronic products.	Industrials - Industrial Engineering - Industrial Components \& Equipment (HSIC*)	China Aerospace International Holdings Limited, an investment holding company, manufactures and distributes technology products in the Peoples Republic of China and Canada.
0032.HK	Cross-Harbour (Holdings) Ltd., The	Operation of motoring schools, tunnels and an electronic toll collection system, and investment.	Industrials - Industrial Transportation - Railway \& Tollroad Operation (HSIC*)	The Cross-Harbour (Holdings) Limited, an investment holding company, operates motoring schools, tunnels, and an electronic toll collection system in Hong Kong.
0700.HK	Tencent Holdings Ltd.	Provision of Internet and mobile value-added services, online advertising services and eCommerce transactions services to users in the PRC.	Information Technology - Software \& Services - E-Commerce \& Internet Services (HSIC*)	Tencent Holdings Limited, an investment holding company, provides Internet and mobile value-added services (VAS), and online advertising services in Mainland China, the United States, Europe, and internationally.
0034.HK	Kowloon Development Co. Ltd.	Development and investment of property; and the holding of investments.	Properties \& Construction - Properties - Property Development (HSIC*)	Kowloon Development Company Limited, an investment holding company, engages in the investment, development, and management of properties. It operates through Property Development, Property Investment, Oil, and Others segments.
0035.HK	Far East Consortium International Ltd.	Property development, property investment, hotel operations and management, car park operations and securities and financial product investments.	Properties \& Construction - Properties - Property Development (HSIC*)	Far East Consortium International Limited, an investment holding company, engages in property development and investment, hospitality, and car park operations.
0068.HK	Lee Hing Development Ltd.	Property investment, property development, investment holding, general investment and sales and purchases of securities.	Financials - Other Financials - Investment \& Asset Management (HSIC*)	Lee Hing Development Limited, an investment holding company, engages in share investment and dealing businesses primarily in Hong Kong. The company is involved in property investment, property development, and general investment activities; and th.
0038.HK	First Tractor Co Ltd. - H Shares	Manufacturing and selling agricultural machineries, diesel engines and fuel injections, other machineries and operating business of finance company.	Industrials - Industrial Engineering - Heavy Industrial Machinery (HSIC*)	First Tractor Company Limited engages in the research and development, manufacture, and sale of products agricultural machinery and powered machinery in the Peoples Republic of China and internationally.
0039.HK	China Beidahuang Industry Group Holdings Ltd.	Sales and distribution of wine and liquor; and production and sale of forages.	Consumer Goods - Food \& Beverages - Alcohols (HSIC*)	China Beidahuang Industry Group Holdings Limited, an investment holding company, engages in the wine and liquor, green food products sales, animal feed, logistic warehouse, and money lending businesses in the Peoples Republic of China.
0040.HK	Gold Peak Industries (Holdings) Ltd.	Development, manufacture and distribution of electronics and acoustic products, automotive wire harness and other businesses; batteries and battery related products; holding of other investments in selling and distribution business.	Consumer Goods - Household Goods \& Electronics - Consumer Electronics (HSIC*)	Gold Peak Industries (Holdings) Limited, an investment holding company, develops, manufactures, markets, and trades batteries and battery-related products, electronics and acoustics products, and automotive wire harnesses.
0001.HK	CK Hutchison Holdings Ltd.	Property development and investment, hotel and serviced suite operation, property and project management, and investment in infrastructure businesses and securities, ownership and leasing of movable assets.	Conglomerates - Conglomerates - Conglomerates (HSIC*)	Cheung Kong (Holdings) Limited, an investment holding company, is engaged in real estate property investment and development activities primarily in Hong Kong.
0002.HK	CLP Holdings Ltd.	Generation and supply of electricity in Hong Kong, India and Australia, and investment holding of power projects in Mainland China, Southeast Asia and Taiwan.	Utilities - Utilities - Electricity (HSIC*)	CLP Holdings Limited, an investment holding company, invests in, generates, and supplies electricity in Hong Kong, India, Australia, Mainland China, Southeast Asia, and Taiwan.
0003.HK	Hong Kong and China Gas Co. Ltd., The	Production, distribution and marketing of gas, water supply and emerging environmentally-friendly energy businesses in Hong Kong and the PRC; property development and investment activities in Hong Kong.	Utilities - Utilities - Gas Distribution (HSIC*)	The Hong Kong and China Gas Company Limited, together with its subsidiaries, engages in the production, distribution, and marketing of gas in Hong Kong and Mainland China.
0004.HK	Wharf (Holdings) Ltd., The	Investment property, development property, hotels operations, logistics and communications, media and entertainment.	Properties \& Construction - Properties - Property Investment (HSIC*)	The Wharf (Holdings) Limited, through its subsidiaries, engages in property and infrastructure investment in Hong Kong, Singapore, and the People's Republic of China.
0005.HK	HSBC Holdings plc	Provision of a comprehensive range of banking and related financial services through an int'l network in the Asia-Pacific region, Europe, the Americas, the Middle East and Africa.	Financials - Banks - Banks (HSIC*)	HSBC Holdings plc provides banking and financial products and services in the United Kingdom and internationally. It operates through Retail Banking and Wealth Management, Commercial Banking, Global Banking and Markets, and Global Private Banking .
0006.HK	Power Assets Holdings Ltd.	Generation and supply of electricity.	Utilities - Utilities - Electricity (HSIC*)	Power Assets Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, the United Kingdom, Australia, Mainland China, and internationally.
0007.HK	Hoifu Energy Group Ltd.	Petrochemical production, oil and gas exploration and production, mineral mining business and provision of financial services.	Financials - Other Financials - Securities \& Brokerage (HSIC*)	Hoifu Energy Group Limited, together with its subsidiaries, engages in trading, mineral mining, oil and gas, and financial businesses. Its Trading Business segment sells natural resources and petrochemicals in the Peoples Republic of China a.
0008.HK	PCCW Ltd.	Provision of telecommunication services, Internet and multimedia services, sale and rental of equipment and technical services. Investment in and development of infrastructure, properties and technology-related business.	Telecommunications - Telecommunications - Telecommunication Services (HSIC*)	PCCW Limited provides telecommunications services in Hong Kong, Mainland China, and internationally. The companys services include local telephony, local data and broadband, mobile and international telecommunications, and satellite-based an.
0009.HK	Nine Express Ltd.	Film distribution and licensing; film processing; rental of property; and property and hotel development.	Properties \& Construction - Properties - Property Investment (HSIC*)	No business summary available for&nbsp;0009.HK.
